%time,field.header.seq,field.header.stamp,field.header.frame_id,field.markers0.header.seq,field.markers0.header.stamp,field.markers0.header.frame_id,field.markers0.ns,field.markers0.id,field.markers0.type,field.markers0.action,field.markers0.pose.position.x,field.markers0.pose.position.y,field.markers0.pose.position.z,field.markers0.pose.orientation.x,field.markers0.pose.orientation.y,field.markers0.pose.orientation.z,field.markers0.pose.orientation.w,field.markers0.scale.x,field.markers0.scale.y,field.markers0.scale.z,field.markers0.color.r,field.markers0.color.g,field.markers0.color.b,field.markers0.color.a,field.markers0.lifetime,field.markers0.frame_locked,field.markers0.text,field.markers0.mesh_resource,field.markers0.mesh_use_embedded_materials,field.markers1.header.seq,field.markers1.header.stamp,field.markers1.header.frame_id,field.markers1.ns,field.markers1.id,field.markers1.type,field.markers1.action,field.markers1.pose.position.x,field.markers1.pose.position.y,field.markers1.pose.position.z,field.markers1.pose.orientation.x,field.markers1.pose.orientation.y,field.markers1.pose.orientation.z,field.markers1.pose.orientation.w,field.markers1.scale.x,field.markers1.scale.y,field.markers1.scale.z,field.markers1.color.r,field.markers1.color.g,field.markers1.color.b,field.markers1.color.a,field.markers1.lifetime,field.markers1.frame_locked,field.markers1.points0.x,field.markers1.points0.y,field.markers1.points0.z,field.markers1.points1.x,field.markers1.points1.y,field.markers1.points1.z,field.markers1.text,field.markers1.mesh_resource,field.markers1.mesh_use_embedded_materials
1643354239642574029,10183,1643354239638905048,radar_1,10183,1643354239638905048,radar_1,bbox,8,1,0,61.53125,-1.171875,0.0,0.0,0.0,0.0,1.0,2.921875,1.5,3.0,1.0,1.0,0.0,0.5,1000000000,0,,,0,10183,1643354239638905048,radar_1,arrow,8,0,0,61.53125,-1.171875,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1000000000,0,0.0,0.0,0.0,-10.8,-0.9,0.0,,,0
1643354239682939027,10184,1643354239678797960,radar_1,10184,1643354239678797960,radar_1,bbox,8,1,0,61.40625,-1.1875,0.0,0.0,0.0,0.0,1.0,2.890625,1.5,3.0,1.0,1.0,0.0,0.5,1000000000,0,,,0,10184,1643354239678797960,radar_1,arrow,8,0,0,61.40625,-1.1875,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1000000000,0,0.0,0.0,0.0,-10.8,-0.9,0.0,,,0
1643354239731693411,10185,1643354239718955993,radar_1,10185,1643354239718955993,radar_1,bbox,8,1,0,61.28125,-1.203125,0.0,0.0,0.0,0.0,1.0,2.875,1.5,3.0,1.0,1.0,0.0,0.5,1000000000,0,,,0,10185,1643354239718955993,radar_1,arrow,8,0,0,61.28125,-1.203125,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1000000000,0,0.0,0.0,0.0,-10.8,-0.9,0.0,,,0
1643354239764213347,10186,1643354239758801937,radar_1,10186,1643354239758801937,radar_1,bbox,8,1,0,61.15625,-0.984375,0.0,0.0,0.0,0.0,1.0,2.828125,1.5,3.0,1.0,1.0,0.0,0.5,1000000000,0,,,0,10186,1643354239758801937,radar_1,arrow,8,0,0,61.15625,-0.984375,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1000000000,0,0.0,0.0,0.0,-10.8,-0.9,0.0,,,0
1643354239803607524,10187,1643354239798810958,radar_1,10187,1643354239798810958,radar_1,bbox,8,1,0,61.0625,-0.75,0.0,0.0,0.0,0.0,1.0,2.8125,1.5,3.0,1.0,1.0,0.0,0.5,1000000000,0,,,0,10187,1643354239798810958,radar_1,arrow,8,0,0,61.0625,-0.75,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1000000000,0,0.0,0.0,0.0,-10.8,-0.9,0.0,,,0
1643354239843787466,10188,1643354239838893890,radar_1,10188,1643354239838893890,radar_1,bbox,8,1,0,60.96875,-0.671875,0.0,0.0,0.0,0.0,1.0,2.796875,1.5,3.0,1.0,1.0,0.0,0.5,1000000000,0,,,0,10188,1643354239838893890,radar_1,arrow,8,0,0,60.96875,-0.671875,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1000000000,0,0.0,0.0,0.0,-10.8,-0.45,0.0,,,0
1643354239882536424,10189,1643354239878798961,radar_1,10189,1643354239878798961,radar_1,bbox,8,1,0,60.859375,-0.671875,0.0,0.0,0.0,0.0,1.0,2.78125,1.5,3.0,1.0,1.0,0.0,0.5,1000000000,0,,,0,10189,1643354239878798961,radar_1,arrow,8,0,0,60.859375,-0.671875,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1000000000,0,0.0,0.0,0.0,-10.8,-0.45,0.0,,,0
1643354239928833644,10190,1643354239918869018,radar_1,10190,1643354239918869018,radar_1,bbox,8,1,0,60.734375,-0.671875,0.0,0.0,0.0,0.0,1.0,2.765625,1.5,3.0,1.0,1.0,0.0,0.5,1000000000,0,,,0,10190,1643354239918869018,radar_1,arrow,8,0,0,60.734375,-0.671875,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1000000000,0,0.0,0.0,0.0,-10.8,-0.45,0.0,,,0
1643354239962988307,10191,1643354239958769083,radar_1,10191,1643354239958769083,radar_1,bbox,8,1,0,60.59375,-0.6875,0.0,0.0,0.0,0.0,1.0,2.71875,1.5,3.0,1.0,1.0,0.0,0.5,1000000000,0,,,0,10191,1643354239958769083,radar_1,arrow,8,0,0,60.59375,-0.6875,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1000000000,0,0.0,0.0,0.0,-10.8,-0.45,0.0,,,0
1643354240003739132,10192,1643354239998778104,radar_1,10192,1643354239998778104,radar_1,bbox,8,1,0,60.453125,-0.796875,0.0,0.0,0.0,0.0,1.0,2.796875,1.5,3.0,1.0,1.0,0.0,0.5,1000000000,0,,,0,10192,1643354239998778104,radar_1,arrow,8,0,0,60.453125,-0.796875,0.0,0.0,0.0,0.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1000000000,0,0.0,0.0,0.0,-10.8,-0.45,0.0,,,0
